"text","hate","hatespeech_G1","annotator_G1","hatespeech_G2","annotator_G2","hatespeech_G3","annotator_G3"
"@__andrea__b 
O cara vive em outro mundo
Não no mundo real
REFUGIADOS são os que vivem
Nas favelas vizinhas as suas fortalezas","1","1","A","1","V","0","E"
"@_carmeloneto Estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.","0","1","D","0","V","0","C"
"@_carmeloneto 
Os 'cumpanhero' quebraram todas as regras.","0","1","A","0","B","0","E"
"@_GlitteryKisses é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos","0","0","C","0","V","0","D"
"@_iglira bom dia macaco branco haha","1","0","A","1","I","1","E"
"@_Ioen imagino...  ow mandei fazer um body opressor pra Duda! hahahaha","0","0","B","0","V","0","C"
"@_Ioen parabéns brou! Menina é bom demais!","0","0","E","0","B","0","C"
"@_Ioen PARABÉNS IRMÃO, SAÚDE E #PAZ. AMÉM.","0","0","B","0","Dani","0","A"
"@_jujuba_lima Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs.","0","0","A","0","I","0","A"
"@_jujuba_lima E o sono... rs. Cheiros. Tb adorei!","0","0","C","0","B","0","C"
"@_jujuba_lima Oww, linda.. trabalho amanhã =/ dó","0","0","B","0","It","0","C"
"@_jujuba_lima que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!","0","0","A","0","It","0","B"
"@_jujuba_lima SOu nada, faço o básico hahaha","0","0","D","0","It","0","B"
"@_jujuba_lima Taí, sou ótima com sobremesas, doces, bolos...","0","0","A","0","I","0","E"
"@_kcris Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?","0","0","A","0","S","0","C"
"@_kcris OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...","0","1","A","0","It","0","E"
"@_latinlover_ cedemos ao encanto e caímos de boca meu caro!","0","0","E","0","B","0","D"
"@_latinlover_ Perfume pra mão jovem amante.....pra mão. Cappice?","1","1","D","1","It","0","E"
"@_Nabarra 'Estimo que se foda' será mais profissional.","1","1","D","0","B","1","B"
